Категория; Имя продукта; Код продукта; Цена, бел.руб 
Сумки для Ноутбуков     Нетбуков; Сумка 15.4" Tucano Studio. BSTU1. нейлон. (внут. 37.5x30x4.5) . черная; 76091/995; 225787.5; 
Сумки для Ноутбуков     Нетбуков; Чехол 13-14" Tucano Colore. BFC1314. неопрен. (внут. 33х26х4). цвет черный; 69025/995; 160528.5; 
Сумки для Ноутбуков     Нетбуков; Чехол 13-14" Tucano Colore. BFC1314-B. неопрен. (внут. 33х26х4). цвет синий; 69026/995; 155557.8; 
Сумки для Ноутбуков     Нетбуков; Чехол 13-14" Tucano Colore. BFC1314-R. неопрен. (внут. 33х26х4). цвет красный; 69027/995; 155557.8; 
Аксессуары для цифровых фотокамер; Штатив HAMA Star 63. 1740г. 66/166cм. 3-D головка. нагрузка 4 кг. серебристый. с сумкой (H-00004163); 42025/995; 302832.0; 
Сувениры брелки; Ионизатор/озонатор воздуха (N201a). USB; 82165/995; 126565.2; 
Сувениры брелки; Мини-пылесос (V-01). турбо режим. встроенный фонарик. серебристый. USB; 81241/995; 42616.8; 
Сувениры брелки; Настольная лампа "Шар" (L-025) c сенсорным включением. 12 св/д. матовое стекло. металлическая подставка. USB; 81584/995; 148194.9; 
Сувениры брелки; Настольная светодиодная лампа (L-3025). 3cв/д. сенсорный выключатель с подсветкой. серебристая. USB; 86352/995; 80538.3; 
Сувениры брелки; Настольная светодиодная лампа (L-3030). 18cв/д. 2 режима яркости. выключатель. увеличительное стекло. белая. USB/3xAAA; 86353/995; 86340.6; 
Сувениры брелки; Настольный USB холодильник (CW-1B). для 1 банки 0.5/0.33; 81244/995; 190536.3; 
Сувениры брелки; Настольный мини-шредер с функцией открытия конвертов (PUPS1001). USB; 81243/995; 111191.4; 
Сувениры брелки; Перчатки с подогревом (UG-011). шерсть. серо-голубые. USB; 81250/995; 127021.5; 
Сувениры брелки; Подогреватель для кружки (W1002) черный. USB; 81246/995; 36817.2; 
Сувениры брелки; Подогреватель для кружки со встроенным HUB 4port USB 2.0. в комплекте металл.кружка (W1002D); 81248/995; 92045.7; 
Сувениры брелки; Подогреватель/охладитель для кружки (CW-014). USB; 81245/995; 164119.5; 
Сувениры брелки; Светильник "Плазма Череп" (PSK-170) USB. многоцветное свечение. звукочувствительность. черная подставка. USB; 81587/995; 254048.4; 
Авто аксессуары; Светодиодный фонарик ALL-1201. встроенный аккумулятор. зарядка от прикуривателя. серебристый; 86191/995; 51178.5; 
Сувениры брелки; Цифровой микроскоп KS-IS DigiScope. USB; 80352/995; 731767.5; 
Сувениры брелки; Цифровой микроскоп KS-IS DigiScope II. USB; 85890/995; 965563.2; 
Материнские платы для AMD Socket FM2; GigaByte GA-F2A75-D3H Socket FM2. AMD A75. 4*DDR3. 2*PCI-E. SATA 6Gb/s + RAID. ALC892 8ch. GLAN. USB3.0. D-SUB + DVI-D + HDMI (Integrated In Processor). ATX; 103092/995; 829337.4; 
Материнские платы для AMD Socket FM2; GigaByte GA-F2A85X-UP4 Socket FM2. AMD A85X. 4*DDR3. 3*PCI-E. SATA 6Gb/s + RAID. eSATA. ALC892 8ch. GLAN. USB3.0. D-SUB + DVI-D + HDMI + DP (Integrated In Processor). ATX; 103095/995; 1327309.2; 
Материнские платы для AMD Socket FM2; MSI FM2-A55M-E33 Socket FM2. AMD A55. 2*DDR3. PCI-E. SATA 3Gb/s + RAID. ALC887 8ch. GLAN. D-SUB + HDMI (Integrated In Processor). ATX; 103097/995; 541231.2; 
Процессоры AMD Socket  FM2; AMD A10 X4 5700 | GPU HD7660D | Socket FM2 | BOX; 103074/995; 1229739.3; 
Процессоры AMD Socket  FM2; AMD A8 X4 5500 | GPU HD7560D | Socket FM2 | BOX; 103073/995; 1073260.8; 
Процессоры AMD Socket  FM2; AMD Athlon™ II X4 740 | БЕЗ GPU | Socket FM2; 103029/995; 712438.2; 
Процессоры AMD Socket  FM2; AMD Athlon™ II X4 750K | БЕЗ GPU | Socket FM2; 103030/995; 790676.1; 
Материнские платы для AMD Socket FM2; ASUS F2A85-M LE Socket FM2. AMD A85X. 2*DDR3. 2*PCI-E. SATA 6Gb/s + RAID. eSATA. ALC887 8ch. GLAN. USB3.0. D-SUB + DVI-D + HDMI (Integrated In Processor). mATX; 103096/995; 878121.0; 
Материнские платы для AMD Socket FM2; GigaByte GA-F2A55-DS3 Socket FM2. AMD A55. 2*DDR3. PCI-E. SATA 3Gb/s + RAID. ALC887 8ch. GLAN. HDMI (Integrated In Processor). ATX; 103093/995; 682983.9; 
Материнские платы для AMD Socket FM2; GigaByte GA-F2A55M-DS2 Socket FM2. AMD A55. 2*DDR3. PCI-E. SATA 3Gb/s + RAID. ALC887 8ch. GLAN. D-SUB + DVI-D (Integrated In Processor). mATX; 103094/995; 585414.0; 
Сетевые адаптеры для Ноутбуков. Нетбуков. Планшетов; Универсальный блок питания для ноутбуков Raveda RVD-0203 70Вт; 84718/995; 257728.5; 
Материнские платы для Intel Socket 775; Intel® Pentium® Dual-Core E5300 | 2.60GHz | Socket 775 | 2MB | 800MHz; 60045/995; 624072.6; 
Приводы DVD-RW; LiteOn SATA iHAS124-34 Black. OEM; 83475/995; 255887.1; 
Приводы DVD-RW; Pioneer SATA DVR-219LBK Black ОЕМ; 84236/995; 236374.2; 
Приводы DVD-RW; Pioneer SATA DVR-S19LBK Black Retail; 82395/995; 236374.2; 
Материнские платы для Intel Socket 775; ASUS P5G41T-M LX2/GB/SI Socket775. iG41. 2*DDR3. SVGA+PCI-E. ATA. SATA. ALC887 8ch. GLAN. D-SUB. mATX (OEM); 84014/995; 443664.0; 
Материнские платы для Intel Socket 1155; ASUS P8H61-M LX2/SI REV 3.0 Socket 1155. iH61. 2*DDR3. PCI-E. SATA. VIA VT1708S 8ch. GLAN. D-SUB + DVI-D (Integrated In Processor). mATX (OEM); 87488/995; 492447.6; 
Коврики для мыши; Коврик для мыши Razer Ironclad; 95932/995; 825808.5; 
Коврики для мыши; Коврик для мыши NOVA Microptic+ MOBILITY. цвет графит. 160x230; 81686/995; 42082.2; 
Внешние FDD приводы (USB); 3.5" 1.44 Mb External Teac USB + Cardreader. Silver; 76705/995; 218700.0; 
Клавиатуры проводные; A4 Tech LCD-720. PS/2. Silver; 103181/995; 58727.7; 
DDR3 Memory 1333MHz; DIMM DDR3 (1333) 4Gb Kingmax; 83367/995; 152703.9; 
Блоки питания 400-450 Ватт; Блок питания Corsair CX430W (CMPSU-430CXV2EU) ATX12V V2.2. APFC. ultra silent 120mm; 103072/995; 482322.6; 
SO DIMM; SO DIMM DDR3 (1333) 2Gb Kingston KVR1333D3S9/2G Retail; 66920/995; 133007.4; 
Видеокарты ASUS; [nVidia GTX 650Ti] 2Gb DDR5 | ASUS GTX650TI-1GD5; 103081/995; 1588717.8; 
Видеокарты ASUS; [nVidia GTX 660Ti] 2Gb DDR5 | ASUS GTX660 TI-DC2O-2GD5; 103099/995; 3063298.5; 
Видеокарты ASUS; [nVidia GTX 670] 2Gb DDR5 | ASUS  GTX670-DC2OG-2GD5; 103080/995; 3953385.9; 
Видеокарты GigaByte; [nVidia GT 610] 2Gb DDR3 | Gigabyte GV-N610D3-2GI; 103032/995; 419731.2; 
Видеокарты GigaByte; [nVidia GTX 650Ti] 1Gb DDR5 | Gigabyte GV-N65TOC-1GI; 103067/995; 1388056.5; 
Видеокарты GigaByte; [nVidia GTX 650Ti] 2Gb DDR5 | Gigabyte GV-N65TOC-2GI; 103068/995; 1579513.5; 
SO DIMM; SO DIMM DDR3 (1333) 4Gb Hynix original; 83967/995; 196978.5; 
Мобильные телефоны Nokia; NOKIA 100 (Legion Blue); 92645/995; 262035.0; 
Термопаста; Силиконовое масло для смазки компьютерных вентиляторов SPO-2. шприц с маслом (2 гр.); 80400/995; 11059.2; 
Термопаста; Синтетическое масло для смазки компьютерных вентиляторов SPO-1. шприц с маслом (2 гр.); 80399/995; 10349.1; 
DDR3 Memory 1866MHz и выше; DIMM DDR3 (2000) 4Gb Corsair Vengeance CMX4GX3M2B2000C9 (9-10-9-27) . комплект 2 шт по 2Gb. RTL; 86526/995; 345173.4; 
Карты расширения Secure Digital (SD); 2 Gb A-Data MicroSD (AUSD2GZ-RA1) Retail; 82874/995; 26325.0; 
Карты расширения Secure Digital (SD); 16 Gb SanDisk microSDHC (SDSDQM-016G-B35A). Class 4. c адаптером. RTL; 88210/995; 109352.7; 
Диски DVD+ -R. DVD+ -RW; DVD+RW Verbatim 4.7Gb 4x 10 штук.Jewel Case (43246); 26058/995; 90757.8; 
Приводы DVD-RW SLIM; Pioneer SATA DVR-TD11RS Black. SLIM int.. Лоток. OEM; 90137/995; 295469.1; 
DDR3 Memory 1600MHz и выше; DIMM DDR3 (1600) 2Gb NCP; 79864/995; 85695.3; 
Видеокарты InnoVISION; [nVidia GT 440] 1Gb DDR3 | InnoVISION N440-2DDV-D3CX; 90185/995; 487844.1; 
Ноутбуки ASUS; ASUS N56VJ | i7 3630QM | 15.6" FHD | 8 Gb | 1Tb | GT635M 2Gb | Blu-Ray Combo | WiFi | BT | CAM | W8 (N56VJ-S4023H); 103012/995; 11380448.7; 
Ноутбуки HP; HP Compaq CQ58-202sr | E1 1200 | 15.6" HD | 4 Gb | 500 | DVDRW | WiFi | CAM | W8 | Black (C2B35EA); 103040/995; 4327095.6; 
Ноутбуки HP; HP Envy dv6-7250er | i7 3630QM | 15.6" HD | 4 Gb | 500 | GT630M 2Gb | DVDRW | WiFi | BT | CAM | W8 | Midnight Black (C0V56EA); 103057/995; 9611470.8; 
Ноутбуки HP; HP Envy dv6-7251er | i7 3630QM | 15.6" HD | 6 Gb | 750 | GT630M 2Gb | DVDRW | WiFi | BT | CAM | W8 | Midnight Black (C0V61EA); 103053/995; 9975052.8; 
Ноутбуки HP; HP Envy dv6-7252er | i7 3630QM | 15.6" HD | 8 Gb | 1Tb | GT630M 2Gb | DVDRW | WiFi | BT | CAM | W8 | Midnight Black (C0V62EA); 103058/995; 10214372.7; 
Аудио-Видео кабели; Кабель аудио 2x RCA ("тюльпан"/ "тюльпан") 3m; 89616/995; 9846.9; 
Аудио-Видео кабели; Кабель аудио джек3.5мм - 2 "тюльпана"  3m; 76724/995; 11753.1; 
Переходники; Переходник SATA->IDE Espada (FG-BSA2-S1-1IDE) bi-direct; 103198/995; 211707.0; 
Интерфейсные кабели; Кабель HDMI to DVI (19pin to 19pin) 5m. black; 68057/995; 41787.9; 
Удлинители; Кабель удлинительный аудио джек3.5mm (M-F) . 1.5m; 79044/995; 8572.5; 
Удлинители; Кабель удлинительный аудио джек3.5mm (M-F) . 1.8m; 79045/995; 9738.9; 
Удлинители; Кабель удлинительный аудио джек3.5mm (M-F) . 5m; 79047/995; 14820.3; 
Фотобумага для принтеров и плоттеров; Фотобумага HP Q5451A полуглянцевая. A4. 25 листов. 170 г/м2; 90586/995; 57620.7; 
Фотобумага для принтеров и плоттеров; Фотобумага HP Q8008A глянцевая с улучшенными характеристиками. 10х15. 60 листов. 250 г/м2; 90588/995; 62132.4; 
Навигаторы GPS; PROLOGY iMAP-5000M 5". ПО "Навител Навигатор; 103175/995; 739346.4; 
Фотобумага для принтеров и плоттеров; Фотобумага Lomond А4. 180г/м2. 50 листов. двусторонняя Глянцевая/Глянцевая (0102065); 87899/995; 130245.3; 
Фотобумага для принтеров и плоттеров; Фотобумага Lomond А4/230/50 глянцевая одностр (102022); 22181/995; 62591.4; 
Хлебопечи; Хлебопечь MOULINEX OW310E30. 15 программ. макс.вес выпечки 1000г. 700Вт. металл; 103103/995; 1453102.2; 
Картриджи к лазерным принтерам HP; HP C8543X LJ9000/9050/9000mfp/9040mfp/9050mfp черный; 31238/995; 2763228.6; 
Картриджи к лазерным принтерам HP; HP CB435A LJP1005/P1006; 55002/995; 606584.7; 
Картриджи к лазерным принтерам HP; HP CE262A CLJ CP4025/CP4525 желтый; 76328/995; 2603988.0; 
Тостеры; Тостер Philips HD2698/00 черный/металлик. 1200Вт. 7 режимов поджаривания; 103122/995; 869038.2; 
Картриджи к лазерным принтерам HP; HP CE271A CLJ CP5525 голубой; 89419/995; 3781258.2; 
Картриджи к лазерным принтерам HP; HP CE310A LJ CP1025/1025nw черный (126A); 86549/995; 483243.3; 
Картриджи к лазерным принтерам HP; HP CE312A LJ CP1025/1025nw желтый (126A); 86551/995; 521904.6; 
Картриджи к лазерным принтерам HP; HP CE320A LJ CP1525/M1214/CM1415 черный (128A); 86553/995; 644322.6; 
Картриджи к лазерным принтерам HP; HP CE740A CLJ CP5225 черный; 76330/995; 1374248.7; 
Картриджи к лазерным принтерам HP; HP Q2683A CLJ3700 Magenta; 21397/995; 1767287.7; 
Тостеры; Тостер Philips HD2636/20 серебристый. 850Вт. 2 секции; 103117/995; 511717.5; 
Тостеры; Тостер Philips HD2636/40 нерж.сталь. 850Вт. 2 секции; 103119/995; 511717.5; 
Тостеры; Тостер Philips HD2686/30 белый. 1500Вт. 2 секции; 103120/995; 676703.7; 
Тостеры; Тостер Philips HD2686/90 черный/металлик. 1500Вт. 2 секции; 103121/995; 676703.7; 
Мясорубки; Мясорубка Kenwood MG520; 100737/995; 1940120.1; 
Картриджи к лазерным принтерам HP; HP Q7560A CLJ3000 черный; 31253/995; 1396342.8; 
Картриджи к лазерным принтерам HP; HP Q7563A CLJ3000 пурпурный; 31256/995; 1341114.3; 
Картриджи к лазерным принтерам HP; HP Q7570A LJ M5035 (15000 страниц); 64098/995; 1875900.6; 
Картриджи к лазерным принтерам Samsung; Samsung CLT-Y409S желтый (для CLP-310/310N/315/ CLX-3170/3170NF/3175/3175FN); 61684/995; 353791.8; 
Картриджи к лазерным принтерам Samsung; Samsung ML-D2850A (для ML-2850D/2851ND); 71651/995; 636120.0; 
Картриджи к лазерным принтерам Samsung; Samsung MLT-D105S (для ML-1915/SCX-4600); 72066/995; 692585.1; 
Картриджи к лазерным принтерам Samsung; Samsung MLT-D106S (для ML-2245); 83446/995; 299092.5; 
Картриджи к лазерным принтерам Samsung; Samsung SCX-4100D3 (для SCX-4100); 29655/995; 539068.5; 
Картриджи к лазерным принтерам Samsung; Samsung SCX-4720D5 (для SCX-4520/4720F); 75418/995; 1376346.6; 
Миксеры; Миксер Philips HR1574/50. 3 насадки. 350 Вт. без чаши; 103146/995; 658176.3; 
Мясорубки; Мясорубка Braun G 1300W белая. 1300Вт. 3 насадки; 103148/995; 1235182.5; 
Мясорубки; Мясорубка Braun G 1500W пластик/нерж.сталь. 1500Вт. 5 насадок; 103150/995; 1473398.1; 
Картриджи к струйным принтерам Canon; Canon BCI-3C cyan; 19636/995; 110637.9; 
Миксеры; Миксер Panasonic MK-GB1WTQ. 2 насадки. 200 Вт. чаша; 103141/995; 413785.8; 
Миксеры; Миксер Philips HR1453/70. 2 насадки. 175 Вт. без чаши; 103142/995; 289386.0; 
Картриджи к струйным принтерам Canon; Canon CLI-8R для PIXMA Pro9000; 74786/995; 132694.2; 
Картриджи к струйным принтерам Canon; Canon BCI-3PM photo magenta; 73280/995; 11364.3; 
Картриджи к струйным принтерам Canon; Canon CL-41 для PIXMA MP450/PM170/PM150/iP6220D/iP6210D/iP2200/iP1600; 29555/995; 216688.5; 
Картриджи к струйным принтерам Canon; Canon CLI-8G для PIXMA Pro9000; 103167/995; 132694.2; 
Картриджи к струйным принтерам Canon; Canon CLI-426BK для MG5140/5240/6140/8140 (4556B001); 80809/995; 116459.1; 
Картриджи к струйным принтерам Canon; Canon PG-37 черный для PIXMA IP1800/2500 (2145B001); 53742/995; 132694.2; 
Картриджи к струйным принтерам Epson; Epson C13T054040 Epson Gloss Optimizer R800/1800; 35133/995; 123873.3; 
Картриджи к струйным принтерам Epson; Epson C13T08224A Cyan R295/390/RX590/610/615/690/TX650/700W/800W/T50; 36980/995; 129691.8; 
Картриджи к струйным принтерам Epson; Epson C13T08234A Magenta R295/390/RX590/610/615/690/TX650/700W/800W/T50; 36981/995; 129691.8; 
Картриджи к струйным принтерам Epson; Epson C13T08254A Light Cyan R295/390/RX590/610/615/690/TX650/700W/800W/T50; 36983/995; 129691.8; 
Миксеры; Миксер MOULINEX HM610130. 500 Вт. 5 скоростей + турбо. насадка - погружной блендер; 103139/995; 487898.1; 
Картриджи к струйным принтерам Epson; Epson C13T10814A10 Black C91/CX4300; 71245/995; 107635.5; 
Картриджи к струйным принтерам Epson; Epson C13T10834A10 Magenta C91/CX4300; 71247/995; 107635.5; 
Совместимые расходные материалы; TechnoVision TVC T0341B для Epson ST 2100 черный; 22682/995; 46483.2; 
Картриджи к струйным принтерам HP; C8775HE Phs8253/3213/3313 light magenta (№ 177); 36989/995; 97108.2; 
Миксеры; Миксер BOSCH MFQ3580. 4 насадки. 450 Вт. без чаши; 103136/995; 657293.4; 
Картриджи к струйным принтерам HP; C9391AE Officejet Pro L7500/7600/7700 cyan (№88XL); 44345/995; 244844.1; 
Миксеры; Миксер BOSCH MFQ3560. 2 насадки. 450 Вт. чаша; 103135/995; 679349.7; 
Картриджи к струйным принтерам HP; C9424А DesignJet 130 light magenta (№85); 71598/995; 385673.4; 
Картриджи к струйным принтерам HP; C9425А DesignJet 30/130 cyan (№85) 28мл; 71599/995; 347932.8; 
Картриджи к струйным принтерам HP; CB317HE Photosmart C5383/C6383 (№ 178) фото черный; 59094/995; 97478.1; 
Миксеры; Миксер BOSCH MFQ3540. 3 насадки. 450 Вт. без чаши; 103131/995; 434961.9; 
Картриджи к струйным принтерам HP; CD975AE Officejet 6000/6500 (№ 920XL) черный; 75391/995; 289024.2; 
Совместимые расходные материалы; CACTUS CS-CB436A для HP LaserJet P1505/M1120/M1522 2000 стр.; 80318/995; 126783.9; 
Микроволновые печи; Микроволновая печь Samsung ME-87HPR. 23 л. 850 Вт. электронное управление. белая; 103127/995; 1044613.8; 
Совместимые расходные материалы; CACTUS CS-CE312A для HP Color LaserJet CP1012 Pro/CP1025 Pro. желтый. 1000 стр.; 90474/995; 296443.8; 
Совместимые расходные материалы; CACTUS CS-CE505A для HP LaserJet P2035/P2055 2300 стр.; 80321/995; 173982.6; 
Совместимые расходные материалы; CACTUS CS-Q2613A для HP Laser Jet 1300 2500 стр.; 80324/995; 208480.5; 
Совместимые расходные материалы; CACTUS CS-Q5942X для HP Laser Jet 4250/4350 20 000 стр.; 90471/995; 528481.8; 
Микроволновые печи; Микроволновая печь Samsung GE-73AR. 20 л. 750 Вт. гриль. электронное управление. белая; 103126/995; 937858.5; 
Совместимые расходные материалы; CACTUS CS-TN2085 для Brother HL-2035R 1500 стр.; 86410/995; 208480.5; 
Прочие расходные материалы и ЗИП; Блок фотобарабана Canon Drum для iR1018/1020 (0388B002AA); 70285/995; 920211.3; 
